iter,wloc
0,98
0,103
0,125
0,157
0,161
0,162
0,169
0,170
0,174
0,177
0,199
0,200
0,202
0,225
0,227
0,260
0,266
0,319
0,321
0,373
0,418
0,443
0,462
0,475
0,488
0,489
0,515
0,516
0,517
0,518
0,520
0,539
0,540
0,596
0,598
0,613
0,630
0,639
0,696
0,721
0,752
0,764
0,768
0,782
0,786
0,820
0,879
0,888
0,899
0,905
1,22
1,97
1,108
1,126
1,143
1,149
1,184
1,235
1,247
1,256
1,315
1,318
1,430
1,445
1,528
1,578
1,597
1,694
1,697
1,705
1,758
1,834
1,844
1,894
1,895
2,20
2,32
2,78
2,112
2,134
2,215
2,245
2,326
2,337
2,366
2,434
2,526
2,546
2,591
2,610
2,646
2,661
2,662
2,679
2,698
2,708
2,729
2,798
2,812
2,843
3,2
3,26
3,35
3,88
3,92
3,95
3,131
3,168
3,205
3,246
3,269
3,270
3,332
3,412
3,457
3,469
3,481
3,510
3,534
3,666
3,687
3,723
3,728
3,866
3,877
4,33
4,87
4,110
4,137
4,145
4,173
4,185
4,218
4,232
4,254
4,301
4,314
4,338
4,374
4,376
4,416
4,442
4,525
4,599
4,649
4,734
4,791
4,827
4,831
4,838
5,9
5,15
5,141
5,155
5,187
5,201
5,233
5,236
5,265
5,307
5,345
5,405
5,424
5,463
5,468
5,535
5,572
5,620
5,625
5,632
5,658
5,695
5,767
5,774
5,906
6,79
6,83
6,135
6,244
6,272
6,286
6,311
6,341
6,420
6,458
6,461
6,486
6,622
6,715
6,727
6,737
6,785
6,787
6,790
6,816
6,829
6,832
6,862
6,881
6,903
7,19
7,37
7,144
7,167
7,181
7,188
7,203
7,214
7,304
7,308
7,343
7,365
7,406
7,455
7,480
7,521
7,527
7,565
7,573
7,657
7,757
7,771
7,772
7,796
7,836
8,24
8,186
8,226
8,237
8,258
8,278
8,284
8,334
8,385
8,438
8,441
8,454
8,459
8,464
8,512
8,524
8,541
8,544
8,624
8,659
8,699
8,701
8,754
8,776
8,806
9,16
9,18
9,21
9,23
9,76
9,113
9,122
9,182
9,190
9,208
9,279
9,342
9,408
9,467
9,514
9,562
9,631
9,667
9,671
9,672
9,700
9,720
9,773
9,800
9,833
10,17
10,93
10,96
10,127
10,136
10,189
10,242
10,250
10,271
10,294
10,333
10,367
10,389
10,409
10,411
10,414
10,465
10,511
10,513
10,536
10,617
10,634
10,660
10,766
10,780
