iter,mse,r_squared,max_obs,upper_10
0,0.0218244663647498,0.346729622124984,0.891692216861543,7.60869565217391
1,0.020519157820811,0.385801340603274,0.93699477943554,16.304347826087
2,0.0139369166107427,0.582827152400945,1,21.7391304347826
3,0.0138097399599008,0.586633923084997,1,30.4347826086957
4,0.0130966327091864,0.607979317531479,1,38.0434782608696
5,0.01311134327431,0.607538987111647,1,46.7391304347826
6,0.0125557818990116,0.624168570786607,1,54.3478260869565
7,0.0130103218919798,0.610562853789774,1,60.8695652173913
8,0.0126194986586246,0.622261341031996,1,67.3913043478261
9,0.0114925913140926,0.655992987638556,1,75
10,0.0110261106076708,0.669956125259541,1,81.5217391304348
