comp1,comp2,response
-8.647721,37.985855,-6.2199998
-24.845116,27.670866,-3.8599999
3.6772945,14.92555,-4.0900002
-41.364925,6.8037925,-5.935409099999998
10.030106,30.425552,-4.8400002
20.398746,26.674845,-6.54
20.772203,26.03327,-6.119999900000002
-3.023092,41.052578,-6.52
0.7312998,1.1735258,-4.579999900000002
0.648593,46.678047,-6.650000099999999
11.899422,2.6924586,-6.119999900000002
12.616944,2.7445207,-5.79
13.1980915,2.7983708,-5.29
13.525932,2.8647087,-4.7399998
34.58826,-10.418327,-4.3499999
34.606796,-10.182325,-4.3099999
34.14677,-12.892845,-4.2800002
34.600346,-9.53435,-4.4000001
34.452652,-12.525478,-4.5100002
34.981243,-12.359574,-4.1500001000000015
35.153828,-14.156157,-4.02
35.828053,-14.811984,-4.0
35.11684,-13.7552,-4.139999899999999
36.093666,-13.621305,-4.4400001
13.178618,1.2955569,-6.21
-31.978699,5.9342604,-4.98
-32.019905,10.838607,-6.125
-9.626684,37.431988,-5.2800002
26.631693,24.706833,-5.7800002
-37.400574,-9.919839,-6.0700002
22.080734,-0.7505032,-6.5100002
22.750431,-1.4458017,-5.6999998
-39.017994,0.2483045,-4.099999899999999
-26.737206,-13.693314,-5.6900001
-40.423756,9.940271,-4.829999900000002
-26.313086,14.496853,-5.2800002
-31.634941,-0.293139,-4.6799998
-10.753689,37.607895,-4.7399998
27.060326,-61.565193,-5.8200002
27.060326,-61.565193,-5.8200002
27.060326,-61.565193,-5.8200002
27.060326,-61.565193,-5.8200002
24.254547,-63.221134,-5.8200002
25.441721,-64.17331,-5.8200002
26.654716,-63.706554,-5.3000002
-24.913609,6.0232797,-4.4099998
24.254547,-63.221134,-5.8200002
25.441721,-64.17331,-5.8200002
25.85292,-62.907253,-5.8200002
25.85292,-62.907253,-5.3000002
24.86805,-62.127796,-5.8200002
-36.076324,12.331207,-4.4400001
21.422058,-65.581436,-5.8200002
22.278118,-64.53258,-5.8200002
22.278118,-64.53258,-5.8200002
21.422058,-65.581436,-5.8200002
22.989779,-66.01178,-5.3000002
22.989779,-66.01178,-5.3000002
22.989779,-66.01178,-5.0
22.989779,-66.01178,-5.8200002
22.989779,-66.01178,-5.8200002
22.989779,-66.01178,-5.8200002
22.989779,-66.01178,-5.8200002
21.422058,-65.581436,-5.8200002
22.989779,-66.01178,-5.8200002
21.24439,-68.886,-5.2600002
19.841822,-68.463486,-5.8200002
19.841822,-68.463486,-5.3000002
20.285791,-69.99292,-5.3000002
19.841822,-68.463486,-4.6999998
21.24439,-68.886,-5.3000002
20.285791,-69.99292,-5.0
19.841822,-68.463486,-5.3000002
18.347803,-70.34554,-5.0999999
18.347803,-70.34554,-5.1500001
18.347803,-70.34554,-5.3000002
18.347803,-70.34554,-5.3000002
18.347803,-70.34554,-5.3000002
-29.40474,9.667007,-5.170000099999998
12.706498,27.86278,-4.6599998
