iter,wloc
0,20
0,24
0,37
0,61
0,102
0,105
0,124
0,137
0,160
0,203
0,258
0,268
0,270
0,295
0,302
0,309
0,331
0,338
0,368
0,374
0,389
0,391
0,408
0,419
0,421
0,425
0,426
0,436
0,439
0,443
0,453
0,476
0,478
0,548
0,556
0,577
0,586
0,605
0,624
0,686
0,732
0,761
0,771
0,796
0,801
0,806
0,832
0,834
0,857
0,860
1,1
1,8
1,13
1,15
1,17
1,18
1,19
1,21
1,25
1,27
1,28
1,31
1,60
1,63
1,64
1,65
1,67
1,68
1,71
1,72
1,73
1,76
1,77
1,140
1,175
1,199
1,207
1,226
1,227
1,228
1,237
1,238
1,245
1,248
1,269
1,280
1,293
1,313
1,318
1,351
1,354
1,431
1,433
1,467
1,479
1,496
1,568
1,571
1,736
1,845
2,7
2,10
2,11
2,12
2,16
2,22
2,26
2,36
2,57
2,62
2,69
2,70
2,74
2,75
2,78
2,95
2,106
2,120
2,149
2,163
2,198
2,229
2,230
2,243
2,251
2,252
2,275
2,316
2,317
2,350
2,399
2,403
2,420
2,442
2,561
2,573
2,584
2,592
2,617
2,665
2,685
2,727
2,730
2,739
2,772
2,795
2,800
2,805
2,837
2,856
3,14
3,23
3,29
3,34
3,46
3,83
3,166
3,168
3,192
3,231
3,233
3,254
3,276
3,315
3,333
3,334
3,355
3,356
3,375
3,393
3,396
3,400
3,410
3,413
3,452
3,463
3,493
3,507
3,541
3,552
3,558
3,570
3,658
3,660
3,666
3,677
3,720
3,734
3,773
3,782
3,789
3,792
3,827
3,833
3,849
3,852
3,853
3,859
3,866
3,869
4,30
4,32
4,35
4,40
4,43
4,55
4,58
4,90
4,148
4,154
4,159
4,193
4,267
4,322
4,330
4,365
4,397
4,402
4,522
4,569
4,578
4,597
4,601
4,610
4,616
4,637
4,645
4,651
4,657
4,659
4,663
4,671
4,699
4,704
4,710
4,715
4,726
4,737
4,740
4,753
4,769
4,776
4,786
4,798
4,820
4,830
4,831
4,842
4,848
4,871
5,4
5,48
5,52
5,53
5,80
5,87
5,98
5,103
5,109
5,110
5,112
5,121
5,122
5,130
5,143
5,158
5,169
5,174
5,178
5,225
5,260
5,285
5,294
5,299
5,300
5,304
5,307
5,348
5,441
5,466
5,484
5,486
5,488
5,501
5,508
5,530
5,589
5,654
5,672
5,687
5,694
5,722
5,742
5,747
5,765
5,774
5,778
5,814
5,844
5,861
