comp1,comp2,response
38.961796,-11.376088,1
28.392916,-11.755,1
-25.777962,34.53119,1
27.573158,-23.184563,1
20.244753,4.7669973,1
1.0829982,20.447542,1
-10.051309,33.5994,1
22.109533,25.387733,1
27.53989,-20.287115,1
-6.2229915,35.712128,1
-11.39086,34.27461,1
12.478546,-1.6959354,1
-8.584365,26.951181,1
-5.733408,14.39049,1
-10.113291,27.499687,1
-5.9012113,32.682507,1
-6.05603,33.12452,1
-3.3427384,-5.4261193,1
22.422264,25.169584,1
22.477514,25.555628,1
-14.7932,27.95612,1
8.954741,1.9020833,1
9.860166,2.265723,1
9.163696,18.277449,1
-5.8564606,35.807037,1
-3.8677022,34.65631,1
-8.135399,28.493925,1
-8.738099,35.37017,1
23.026543,1.141959,1
-22.607485,-2.0104916,1
-9.448363,5.4326878,1
36.771317,-12.152919,1
-43.885063,4.8576756,1
0.058858756,18.482313,1
-8.756885,13.360528,1
16.259588,5.9941483,1
-10.511763,29.012636,1
-1.1942073,33.876175,1
5.099667,21.239553,1
33.594013,-15.77889,1
-7.361046,19.069994,1
-12.488655,16.77066,1
-15.870332,5.3703585,1
8.584393,-5.59141,1
30.257881,-15.857628,1
25.915354,-20.385874,1
13.932991,-2.540576,1
17.470715,-13.417509,1
14.033953,-38.624626,1
-6.73745,-7.1940613,1
1.0925739,-7.4351325,1
0.4952067,-50.868095,1
-1.3110001,-49.796623,1
4.537926,-32.467575,1
2.2271793,-48.60451,1
-9.340371,-8.715787,1
-6.100158,-2.5177915,1
28.813515,-22.457214,1
-5.3586636,-22.048445,1
-9.122649,33.321163,1
-9.406392,9.571801,1
-9.05597,36.16544,1
-10.340687,35.44512,1
-6.7104206,30.435333,1
-5.6049185,28.031435,1
32.137104,-18.699772,1
8.214299,18.675608,1
-9.625588,34.60361,1
-8.866108,34.09488,1
-4.8518558,33.714436,1
-4.06912,29.407322,1
4.320461,1.0011805,1
-6.413617,34.720963,1
-13.586834,30.591633,1
20.601845,-5.6006117,1
-10.080724,30.95964,1
-13.622086,27.856226,1
-4.8945637,33.85856,1
-40.080048,1.2355673,0
0.5339423,-49.100437,0
2.5464866,-50.846447,0
20.99219,-43.066,0
15.629071,-37.232635,0
12.033582,-34.58946,0
12.837106,-33.947044,0
-40.05432,1.2091537,0
28.054714,-21.93487,0
20.881996,-41.933525,0
-27.173656,17.3187,0
1.11656,-47.74393,0
-43.948067,3.2117288,0
18.335283,-34.560783,0
-41.62871,-3.0913048,0
0.85719717,-5.3276014,0
-7.765108,30.850647,0
2.3723538,-7.235999,0
-43.290615,11.663374,0
29.009907,7.02844,0
-28.259232,15.491414,0
-13.024755,22.051664,0
4.163644,-5.6211267,0
3.0413344,-49.906612,0
0.690707,-49.935867,0
28.341763,-15.6306,0
-6.2258043,30.606129,0
-8.894452,29.977415,0
20.891392,-41.858906,0
14.021101,-39.130993,0
16.47765,-36.06762,0
29.681644,-22.769156,0
23.792469,-37.175163,0
23.877747,-38.69748,0
18.547697,-35.039894,0
-2.6042576,-24.195953,0
23.834747,-38.240307,0
15.084591,-42.05572,0
21.065393,-37.387775,0
20.049486,-36.6097,0
23.815598,-36.756012,0
-11.496146,34.529793,0
1.6859827,-48.54959,0
1.4261769,-50.16491,0
-0.5232519,-49.13914,0
3.5458767,-47.219402,0
-0.6700322,-50.170208,0
-28.195597,16.419817,0
19.681995,-36.3098,0
14.926458,-38.66031,0
21.83967,6.2993107,0
1.2572557,-51.04915,0
-1.1054592,-50.81434,0
0.056842957,-9.719385,0
-41.766895,-4.246558,0
-16.277426,34.383118,0
23.379358,-14.285896,0
3.3079712,16.858917,0
-2.4118755,-20.32882,0
41.091938,-2.6542556,0
8.935264,-16.87669,0
-4.2389317,30.912096,0
13.376163,-7.7115602,0
4.1390667,-20.036598,0
-9.391081,16.832361,0
6.1226788,-28.557846,0
-10.414145,-28.452463,0
12.361229,-18.981567,0
28.94703,-6.683974,0
14.9832115,-23.524546,0
5.9858117,1.7131296,0
4.6539936,-19.152618,0
2.6528397,18.835669,0
13.27982,-5.8238654,0
32.82458,1.3017787,0
26.059551,2.1007557,0
8.4338255,-33.85074,0
-1.7375388,26.89048,0
13.817346,-31.405863,0
-5.7341046,18.018257,0
-10.461513,12.596059,0
2.3607142,-13.710455,0
10.978918,14.5176735,0
11.227689,14.518587,0
39.492775,-11.893944,0
15.94594,-41.43749,0
16.41011,-32.7009,0
7.0828323,-37.527267,0
15.94594,-41.43749,0
13.96691,-34.73009,0
15.9301605,-33.456467,0
1.3183504,-9.118986,0
17.360775,-29.720156,0
15.777289,-28.81672,0
40.366108,-19.932995,0
-41.038643,-2.3774526,0
-9.903778,27.515753,0
1.0747879,-4.1120358,0
0.9308435,-5.536678,0
-43.977104,3.6881592,0
-7.367896,-34.101494,0
-42.20183,-3.163138,0
-24.053627,26.657293,0
-29.775229,4.399536,0
-43.987976,12.406915,0
2.0386517,-9.795307,0
-42.960064,-2.716329,0
1.4058583,-8.522471,0
-0.6488006,34.986977,0
-42.963795,7.2292423,0
7.180276,-37.29323,0
-3.7800107,6.4295473,0
16.26084,-39.496304,0
9.0500555,34.339233,0
10.690149,34.068596,0
-38.64137,15.076919,0
-6.522539,-19.410807,0
-33.72048,2.768938,0
-34.671284,23.844046,0
22.526833,20.979807,0
-13.505971,31.126455,0
-34.248142,2.5537689,0
-32.56932,29.71665,0
-31.762444,-2.3279831,0
7.3632255,28.135801,0
-2.2129917,6.380445,0
-30.749027,8.731854,0
-35.275085,23.365091,0
-7.610497,31.27203,0
-35.507454,1.9837043,0
-30.926544,-1.7713282,0
-30.06327,-1.6594288,0
-29.626019,-4.5021477,0
-6.617689,-19.433102,0
-31.408064,11.011333,0
-39.793102,13.997833,0
-35.739124,2.0083776,0
-40.170105,15.178979,0
-30.56683,-4.4010577,0
-25.739878,33.89763,0
-31.88139,10.811214,0
-29.76875,24.814423,0
-32.00622,28.98858,0
-26.441555,-0.10240336,0
-31.117722,-4.498759,0
7.892566,28.284657,0
8.653221,33.976063,0
-15.2798195,34.360508,0
-14.793122,27.956493,0
-5.1467376,29.83945,0
0.84802556,2.5776465,0
-7.2594185,33.412373,0
9.09289,1.401037,0
-32.0955,3.429407,0
-15.513636,30.0526,0
-31.879492,3.539777,0
-35.840343,21.987513,0
-33.097237,20.619987,0
-4.585055,28.896162,0
-25.648352,34.451263,0
-32.215126,11.831497,0
-29.45967,22.207172,0
-34.700554,22.50401,0
-28.42995,-0.8151095,0
5.7840204,33.81326,0
-20.821888,29.029158,0
0.19319382,7.7857537,0
-34.60116,22.9116,0
-33.1457,21.927378,0
-29.40619,19.906904,0
-28.875797,10.002653,0
-29.36094,-1.1561459,0
-20.775352,28.890299,0
-11.310113,32.039455,0
-4.7434,4.611019,0
22.453508,20.90771,0
-30.2952,23.052397,0
-29.456898,22.209156,0
-39.932095,10.653047,0
-29.10105,9.958566,0
-28.626873,1.3027046,0
6.328267,33.97924,0
-6.084343,-18.322037,0
-5.441767,4.3816977,0
0.5843974,8.269823,0
-4.467956,4.5770392,0
11.48215,35.61383,0
9.583742,36.01497,0
9.451814,35.05131,0
11.149904,35.711678,0
8.476466,36.83168,0
8.118244,36.87824,0
2.6377077,-35.8163,0
-39.918503,10.675612,0
-42.71211,11.1107,0
-33.79703,23.551674,0
8.14165,4.5255494,0
10.12516,2.0671363,0
-28.506977,26.588076,0
-42.66759,9.129271,0
-26.042566,0.1992789,0
8.205824,4.8384957,0
-30.757858,9.023536,0
-32.768818,23.463696,0
-39.749744,13.796115,0
-31.616945,28.799377,0
-24.46181,-2.3947558,0
-27.32439,-0.28800118,0
-31.862865,-4.3181057,0
-0.0675069,6.3423567,0
-31.537573,10.368166,0
-30.737907,24.332441,0
-30.246479,20.853716,0
-32.33777,28.51307,0
-15.434927,27.478119,0
16.043043,28.643562,0
0.32058486,7.439727,0
-38.46418,15.292678,0
-29.479525,25.119867,0
-42.66759,9.129271,0
-21.752872,-1.0684732,0
-22.53951,-2.521616,0
-28.458708,0.7016159,0
16.04936,28.64012,0
-2.1439939,6.336915,0
-22.250206,-1.1427008,0
-20.647423,11.038758,0
-4.813992,-16.599842,0
12.551276,22.791851,0
-38.79296,6.0136166,0
-6.1290574,-7.5834966,0
28.883791,-19.274378,0
26.828482,-5.5575514,0
-6.272381,18.600641,0
-3.9340732,-5.0566998,0
15.432804,-23.181284,0
11.313086,1.7532555,0
-10.795266,33.333626,0
-8.477512,26.73087,0
6.999246,3.5120614,0
14.740092,0.08699003,0
-11.452951,11.040372,0
-20.681057,4.484885,0
-0.84823465,14.982317,0
19.626612,-13.3842125,0
35.78651,-5.8375745,0
12.920321,5.8589916,0
-26.600649,12.384315,0
19.675356,-10.167503,0
7.7307544,-13.104207,0
-3.186669,27.167723,0
4.954871,33.57893,0
-24.093382,-19.986595,0
22.027576,12.130008,0
17.929987,14.35345,0
6.554007,-7.8571367,0
31.036905,-17.252195,0
-18.658731,21.96793,0
-24.816978,18.292652,0
-14.020702,18.950226,0
9.430476,-22.307493,0
4.9697666,-1.8969802,0
-0.56353456,-36.100967,0
0.18669844,-16.452755,0
7.233392,-9.45677,0
3.2064931,-26.875175,0
-11.696457,17.4271,0
-24.529652,18.372044,0
9.30241,-1.429083,0
35.15542,-22.467468,0
26.217628,7.7509155,0
15.438784,-4.9906845,0
2.7250807,15.968944,0
-7.160157,-27.095133,0
-0.016376603,2.2097642,0
-13.33307,29.540674,0
12.209315,-0.21397328,0
13.744619,0.53431815,0
10.624802,-6.3342996,0
35.21827,-22.884617,0
31.631142,-22.551939,0
-10.759666,-10.271211,0
-12.201414,-7.001698,0
-23.549334,7.315425,0
9.53446,10.184146,0
19.387789,-12.208844,0
11.513907,-28.653337,0
-18.347765,-5.9285326,0
34.468548,1.1041279,0
-9.550397,-9.01421,0
37.016457,-0.35602084,0
-33.885365,16.82795,0
20.513376,9.449811,0
-10.038153,-8.3654375,0
-15.710676,3.8696923,0
-16.393543,1.9317951,0
0.3412561,30.207176,0
-15.28472,-28.093683,0
24.608124,-28.815628,0
-18.050411,10.413871,0
36.03125,5.0217896,0
-13.832119,9.708595,0
-17.69833,34.499866,0
5.055015,25.321573,0
0.040230848,22.798702,0
24.60074,-28.261837,0
0.75594443,-36.224236,0
4.365093,-10.987236,0
-11.305962,-15.90567,0
-1.9841958,-30.88361,0
-26.316935,-14.17088,0
4.5379877,26.758514,0
-17.809307,-2.4504867,0
-36.74774,23.330181,0
-9.042917,-1.7264467,0
-11.401251,6.450905,0
-1.0980779,24.28804,0
4.032767,5.6763153,0
7.1690106,-26.670704,0
15.261387,-1.3556304,0
38.55151,-12.304363,0
6.796567,19.520187,0
-5.1410756,-26.662361,0
28.106293,-19.91166,0
29.052975,-33.408627,0
-3.8619814,-19.839417,0
18.492395,3.1142817,0
-23.775843,26.238962,0
30.966494,4.4374676,0
-16.724451,-14.297693,0
-15.575222,-1.1523201,0
11.335497,-29.297104,0
-9.489248,-21.363209,0
